GEO_ID|B01003_E001|B01003_M001
1400000US36047050500|4284|872
1400000US36047050600|5675|1034
1400000US36047050700|3869|842
1400000US36047050801|3718|611
1400000US36047050803|2608|438
1400000US36047050804|6765|1050
1400000US36047050900|5473|1285
1400000US36047051001|4652|1000
1400000US36047051002|4028|461
1400000US36047051100|3922|514
1400000US36047051200|5991|995
1400000US36047051300|5628|704
1400000US36047051400|7214|961
1400000US36047051500|2839|432
1400000US36047051601|4824|686
1400000US36047051602|3784|753
1400000US36047051700|2853|434
1400000US36047051800|3448|499
1400000US36047051900|5725|829
1400000US36047052000|3544|671
1400000US36047052300|5432|746
1400000US36047052500|3501|685
1400000US36047052600|3879|545
1400000US36047052700|5921|908
1400000US36047052800|1826|257
1400000US36047052900|3113|884
1400000US36047053000|3628|817
1400000US36047053101|2629|513
1400000US36047053102|6226|1452
1400000US36047053200|2296|350
1400000US36047053300|6233|1255
1400000US36047053400|4488|760
1400000US36047053500|4275|921
1400000US36047053700|4181|790
1400000US36047053800|5806|1011
1400000US36047053900|2552|488
1400000US36047054200|4041|572
1400000US36047054300|0|13
1400000US36047054400|3906|533
1400000US36047054500|7454|1353
1400000US36047054600|5214|835
1400000US36047054700|8440|1061
1400000US36047054800|2236|590
1400000US36047054900|4645|810
1400000US36047055000|3512|448
1400000US36047055100|6797|865
1400000US36047055200|3745|506
1400000US36047055300|3325|687
1400000US36047055400|4088|551
1400000US36047055500|9183|936
1400000US36047055600|3363|613
1400000US36047055700|1775|348
1400000US36047055800|2291|263
1400000US36047056000|3594|479
1400000US36047056100|3580|615
1400000US36047056200|1865|337
1400000US36047056301|4778|656
1400000US36047056302|2140|412
1400000US36047056400|2564|444
1400000US36047056500|3340|420
1400000US36047056600|2297|481
1400000US36047056800|1247|297
1400000US36047056900|1744|235
1400000US36047057000|3621|477
1400000US36047057100|4184|621
1400000US36047057200|5499|945
1400000US36047057300|2482|401
1400000US36047057400|2609|406
1400000US36047057500|4903|779
1400000US36047057600|2881|450
1400000US36047057800|2997|379
1400000US36047057901|1427|281
1400000US36047057902|0|13
1400000US36047058000|3466|753
1400000US36047058200|2435|695
1400000US36047058400|3546|539
1400000US36047058600|2289|361
